"sampleid" "diet" "day_post_inf" "mouse_id" "study" "diet_true" "high_fat" "high_fiber" "purified_diet" "seq_depth"
"232" "75.113.0819" "HF/LF" 3 113 7 "HF/LF" 1 0 1 39746
"233" "71.114.0801" "Chow" -15 114 7 "Chow" 0 1 0 27826
"234" "72.114.0808" "Chow" -8 114 7 "Chow" 0 1 0 33658
"235" "73.114.0813" "Chow" -3 114 7 "Chow" 0 1 0 28624
"236" "74.114.0816" "Chow" 0 114 7 "Chow" 0 1 0 29237
"237" "75.114.0819" "Chow" 3 114 7 "Chow" 0 1 0 27079
"238" "71.115.0801" "Chow" -15 115 7 "Chow" 0 1 0 27182
"239" "72.115.0808" "Chow" -8 115 7 "Chow" 0 1 0 39710
"240" "73.115.0813" "Chow" -3 115 7 "Chow" 0 1 0 16968
"241" "74.115.0816" "Chow" 0 115 7 "Chow" 0 1 0 30190
"242" "75.115.0819" "Chow" 3 115 7 "Chow" 0 1 0 31803
"243" "71.116.0801" "Chow" -15 116 7 "Chow" 0 1 0 28354
"244" "72.116.0808" "Chow" -8 116 7 "Chow" 0 1 0 31089
"245" "74.116.0816" "Chow" 0 116 7 "Chow" 0 1 0 45218
"246" "75.116.0819" "Chow" 3 116 7 "Chow" 0 1 0 32494
"247" "71.117.0801" "Chow" -15 117 7 "Chow" 0 1 0 23118
"248" "73.117.0813" "Chow" -3 117 7 "Chow" 0 1 0 32144
"249" "74.117.0816" "Chow" 0 117 7 "Chow" 0 1 0 39855
"250" "75.117.0819" "Chow" 3 117 7 "Chow" 0 1 0 22518
"251" "71.118.0801" "Chow" -15 118 7 "Chow" 0 1 0 27701
"252" "61.9961.0627" "Chow" -15 9961 6 "Chow" 0 1 0 18700
"253" "62.9961.0704" "Chow" -8 9961 6 "Chow" 0 1 0 24794
"254" "63.9961.0709" "Chow" -3 9961 6 "Chow" 0 1 0 40637
"255" "64.9961.0712" "Chow" 0 9961 6 "Chow" 0 1 0 30186
"256" "61.9962.0627" "Chow" -15 9962 6 "Chow" 0 1 0 35472
"257" "62.9962.0704" "Chow" -8 9962 6 "Chow" 0 1 0 32763
"258" "63.9962.0709" "Chow" -3 9962 6 "Chow" 0 1 0 48936
"259" "64.9962.0712" "Chow" 0 9962 6 "Chow" 0 1 0 40444
"260" "61.9963.0627" "Chow" -15 9963 6 "Chow" 0 1 0 30837
"261" "62.9963.0704" "Chow" -8 9963 6 "Chow" 0 1 0 33693
"262" "63.9963.0709" "Chow" -3 9963 6 "Chow" 0 1 0 35517
"263" "64.9963.0712" "Chow" 0 9963 6 "Chow" 0 1 0 38994
"264" "61.9964.0627" "Chow" -15 9964 6 "Chow" 0 1 0 19244
"265" "62.9964.0704" "Chow" -8 9964 6 "Chow" 0 1 0 34739
"266" "63.9964.0709" "Chow" -3 9964 6 "Chow" 0 1 0 42957
"267" "64.9964.0712" "Chow" 0 9964 6 "Chow" 0 1 0 39179
"268" "61.9965.0627" "Chow" -15 9965 6 "Chow" 0 1 0 35385
"269" "62.9965.0704" "Chow" -8 9965 6 "Chow" 0 1 0 33600
"270" "63.9965.0709" "Chow" -3 9965 6 "Chow" 0 1 0 39090
"271" "64.9965.0712" "Chow" 0 9965 6 "Chow" 0 1 0 33855
"272" "61.9966.0627" "LF/LF" -15 9966 6 "Chow" 0 1 0 44681
"273" "62.9966.0704" "LF/LF" -8 9966 6 "LF/LF" 0 0 1 26523
"274" "63.9966.0709" "LF/LF" -3 9966 6 "LF/LF" 0 0 1 1980
"275" "64.9966.0712" "LF/LF" 0 9966 6 "LF/LF" 0 0 1 2143
"276" "61.9967.0627" "LF/LF" -15 9967 6 "Chow" 0 1 0 29690
"277" "62.9967.0704" "LF/LF" -8 9967 6 "LF/LF" 0 0 1 34323
"278" "63.9967.0709" "LF/LF" -3 9967 6 "LF/LF" 0 0 1 24585
"279" "64.9967.0712" "LF/LF" 0 9967 6 "LF/LF" 0 0 1 27508
"280" "61.9968.0627" "LF/LF" -15 9968 6 "Chow" 0 1 0 41839
"281" "62.9968.0704" "LF/LF" -8 9968 6 "LF/LF" 0 0 1 45033
"282" "63.9968.0709" "LF/LF" -3 9968 6 "LF/LF" 0 0 1 23530
"283" "64.9968.0712" "LF/LF" 0 9968 6 "LF/LF" 0 0 1 38204
"284" "61.9969.0627" "LF/LF" -15 9969 6 "Chow" 0 1 0 34281
"285" "62.9969.0704" "LF/LF" -8 9969 6 "LF/LF" 0 0 1 43865
"286" "63.9969.0709" "LF/LF" -3 9969 6 "LF/LF" 0 0 1 7569
"287" "64.9969.0712" "LF/LF" 0 9969 6 "LF/LF" 0 0 1 26039
"288" "61.9970.0627" "LF/LF" -15 9970 6 "Chow" 0 1 0 35746
"289" "62.9970.0704" "LF/LF" -8 9970 6 "LF/LF" 0 0 1 45004
"290" "63.9970.0709" "LF/LF" -3 9970 6 "LF/LF" 0 0 1 298
"291" "64.9970.0712" "LF/LF" 0 9970 6 "LF/LF" 0 0 1 2465
"292" "61.9971.0627" "HF/LF" -15 9971 6 "Chow" 0 1 0 28707
"293" "63.9971.0709" "HF/LF" -3 9971 6 "HF/LF" 1 0 1 2595
"294" "64.9971.0712" "HF/LF" 0 9971 6 "HF/LF" 1 0 1 18289
"295" "61.9972.0627" "HF/LF" -15 9972 6 "Chow" 0 1 0 43798
"296" "62.9972.0704" "HF/LF" -8 9972 6 "HF/LF" 1 0 1 40135
"297" "63.9972.0709" "HF/LF" -3 9972 6 "HF/LF" 1 0 1 228
"298" "64.9972.0712" "HF/LF" 0 9972 6 "HF/LF" 1 0 1 2115
"299" "61.9973.0627" "HF/LF" -15 9973 6 "Chow" 0 1 0 35764
"300" "62.9973.0704" "HF/LF" -8 9973 6 "HF/LF" 1 0 1 34776
"301" "63.9973.0709" "HF/LF" -3 9973 6 "HF/LF" 1 0 1 582
"302" "64.9973.0712" "HF/LF" 0 9973 6 "HF/LF" 1 0 1 317
"303" "61.9974.0627" "HF/LF" -15 9974 6 "Chow" 0 1 0 32533
"304" "62.9974.0704" "HF/LF" -8 9974 6 "HF/LF" 1 0 1 47706
